timestamp,ifHCInOctets,ifHCOutOctets,ifInErrors,ifOutErrors,ifInUcastPackets,ifOutUcastPackets
1709666100,3213.023879,2571.9297653,0.0,0.0,4.2332445879,4.3766484291
1709666400,3248.0571624,2650.6006174,0.0,0.0,4.4177561208,4.5524329323
1709666700,3227.0860602,2589.6958001,0.0,0.0,4.3125052014,4.3833920938
1709667000,3223.796553,2591.1839826,0.0,0.0,4.256931027,4.3923627529
1709667300,3237.7258477,2615.4366462,0.0,0.0,4.3310384342,4.4678402926
1709667600,3280.6761498,2639.1147542,0.0,0.0,4.3014041186,4.4122434322
1709667900,3177.4849889,2552.4533026,0.0,0.0,4.2650604455,4.366689173
1709668200,3316.4238258,2714.0692036,0.0,0.0,4.6482015289,4.6884977783
1709668500,3224.6095054,2770.2609856,0.0,0.0,4.3716196588,4.4869064477
1709668800,3254.3602693,2623.6708746,0.0,0.0,4.2958105137,4.4205058529
1709669100,3221.9774564,2614.8252127,0.0,0.0,4.3890262936,4.5009157002
1709669400,3278.1172326,2635.8913996,0.0,0.0,4.3153474141,4.4068885422
1709669700,3200.500675,2565.6621058,0.0,0.0,4.2379278908,4.3440458088
1709670000,3280.6292572,2659.8669881,0.0,0.0,4.3555713728,4.4527841465
1709670300,3232.8465912,2597.3987708,0.0,0.0,4.2969766618,4.4124706401
1709670600,3245.7439861,2611.4152509,0.0,0.0,4.2844004468,4.4232329327
1709670900,3229.5147816,2610.1688505,0.0,0.0,4.4083803617,4.4633114395
1709671200,3271.6599079,2635.0298301,0.0,0.0,4.3077456971,4.4111512445
1709671500,3228.4560898,2591.8546505,0.0,0.0,4.3427244966,4.4590352797
1709671800,3221.8192151,2614.7599111,0.0,0.0,4.3008708384,4.4204855992
1709672100,3267.5601887,2626.0286894,0.0,0.0,4.3471458435,4.420009284
1709672400,3202.3602656,2572.2894897,0.0,0.0,4.2219646093,4.3425552356
1709672700,3310.6241877,3020.0710194,0.0,0.0,4.8808427449,4.9304702409
1709673000,3259.5797968,2656.2063833,0.0,0.0,4.3514159329,4.461497193
1709673300,3188.8910322,2551.2095794,0.0,0.0,4.2042641527,4.3088172588
1709673600,3256.8623921,2648.9627851,0.0,0.0,4.3678489642,4.4459953115
